"city","passion","loyalty","basicServ","leadership","education","safety","aesthetic","economy","socialOff","civicInv","openness","socialCap","domains","comOff","comAttach","lat","long","Year"
"Akron, OH",-1.13638726506163,1.25909332641389,8.13169284965853,-15.2074116101319,8.05161333736335,-4.89036722265564,2.83910088430241,10.9829162058184,2.47025846183379,4.72818958105886,5.5427170653488,6.27784200810306,4.82939074391567,2.29712932170077,0.0256815074559711,41.08,-81.52,"2010/2008"
"Biloxi, MS",-1.34685869802459,-5.89247076548808,31.793722372609,-11.8346993097429,6.30779206125457,0.086547515255603,27.4283821381739,-40.4020442666318,-6.64769396309217,5.78227724713973,-5.22592001514728,-0.129386376823973,-0.0567067033562552,-1.49200207711027,-3.47776038676209,30.41,-88.93,"2010/2008"
"Boulder, CO",5.17837168228242,5.65323858373816,17.8541272998588,13.1017631940577,5.80573300856302,6.53926646462646,1.27378091991342,4.95365636569885,12.6944155266037,0.989321850598827,6.4355071827473,4.04117301472733,4.37814124318629,6.85621955530453,5.38733169904356,40.03,-105.25,"2010/2008"
"Bradenton, FL",6.47386783822104,6.77257866335941,27.2457572818104,-24.233657723306,18.6290453038734,-0.350485145328861,7.47440598465548,15.9724912335098,4.42889800767759,-4.09624203147794,5.48539807166087,-2.14433406925193,0.866510762990885,7.64457529751074,6.61780732538971,27.49,-82.58,"2010/2008"
"Charlotte, NC",-1.7423137813656,-1.45107816432485,3.44464676940348,-15.1480107780077,-4.4986433074815,3.28318882358123,-0.398575727397741,-24.2860416297461,-4.97816863236613,2.13817441656904,-9.01824037603876,2.03243202280244,-2.01779631748308,-5.19966030560252,-1.59835953120687,35.2,-80.83,"2010/2008"
"Columbia, SC",-5.64432846931608,-0.561243919574494,1.54416341164938,-27.2286582054715,10.027013926872,4.29108915305763,10.153497697794,-23.3528158898508,-2.3287445763762,7.31033659561038,-6.35317863100748,-3.92976072719526,-0.907882584377134,-1.61785331249912,-3.13387166893851,34.04,-80.89,"2010/2008"
"Columbus, GA",1.9975973386412,2.12202792821361,13.2614175194957,11.2055880599869,-1.24448441576354,-3.54049038402641,5.39920711880875,-4.66833113474371,5.42433524157889,7.5657958485358,3.56439298979467,4.35401549533312,4.75156155956525,3.4598734135775,2.03618268552384,32.51,-84.87,"2010/2008"
"Detroit, MI",2.1202446375693,3.03278288747147,25.5423938211581,-2.24794042600035,-2.98950018407244,-2.04113059857698,7.17721054853588,46.3254043000304,0.747815254685975,5.31459352417659,6.4438801740248,2.90390174401742,4.69810569465297,6.26296881312216,2.71451752155807,42.38,-83.1,"2010/2008"
"Duluth, MN",-3.63602613772679,-4.32832977443702,-2.80637364249579,-18.7983993433419,-10.1973729497994,-4.47524451344322,-1.11770466086681,-7.56629187605374,-1.6883916511826,2.90380117737867,-1.87780866370085,1.61604113560851,-0.410863442916295,-5.91060551985612,-4.14127820580913,46.78,-92.12,"2010/2008"
"Fort Wayne, IN",10.9133234755945,4.51390832477207,3.72609864050244,-16.1120745863106,-2.34923164334445,-2.25146587118461,19.4800393839493,3.42472304860688,6.8861946630992,11.8538621706176,3.94878177964797,9.95842298366385,7.63918062462874,2.96123970054285,7.37420863567468,41.07,-85.14,"2010/2008"
